Date,Month,Turbidity (NTU),Diarrhea Cases,Risk Level,Temperature (°C),Rainfall (mm)
2023-08-02,8,80.4,40,High,30.5,35.8
2020-08-16,8,72.6,30,High,30.5,35.8
2020-02-21,2,4.9,1,Low,30.5,5.1
2021-07-17,7,24.9,13,Medium,30.5,35.8
2021-05-16,5,12.9,1,Low,30.5,5.1
2021-04-02,4,9.0,1,Low,30.5,5.1
2020-10-12,10,15.6,6,Medium,30.5,5.1
2020-07-28,7,103.7,70,High,30.5,35.8
2023-10-17,10,16.8,5,Medium,30.5,5.1
2023-01-21,1,7.0,0,Low,30.5,5.1
2020-06-27,6,83.0,48,High,30.5,35.8
2023-04-24,4,8.0,1,Low,30.5,5.1
2022-05-14,5,10.2,4,Low,30.5,5.1
2020-03-06,3,48.9,13,High,30.5,5.1
2020-03-02,3,8.1,2,Low,30.5,5.1
2020-07-10,7,67.2,31,High,30.5,35.8
2021-03-23,3,9.3,4,Low,30.5,5.1
2021-04-21,4,23.4,5,Medium,30.5,5.1
2022-10-31,10,16.7,2,Low,30.5,5.1
2023-05-17,5,0.5,0,Low,30.5,5.1
2020-02-24,2,6.3,2,Low,30.5,5.1
2023-02-23,2,6.3,0,Low,30.5,5.1
2021-02-11,2,5.9,6,Low,30.5,5.1
2023-08-23,8,73.2,29,High,30.5,35.8
2023-12-07,12,4.3,4,Low,30.5,5.1
2023-01-21,1,4.6,4,Low,30.5,5.1
2022-05-09,5,2.9,1,Low,30.5,5.1
2021-03-27,3,8.5,1,Low,30.5,5.1
2022-07-08,7,87.5,44,High,30.5,35.8
2023-04-21,4,12.7,8,Medium,30.5,5.1
2021-07-23,7,42.0,19,High,30.5,35.8
2020-01-14,1,7.9,0,Low,30.5,5.1
2020-11-22,11,8.4,7,Low,30.5,5.1
2023-11-30,11,9.5,3,Low,30.5,5.1
2022-05-15,5,13.3,6,Low,30.5,5.1
2021-11-27,11,5.1,1,Low,30.5,5.1
2021-07-23,7,35.4,23,High,30.5,35.8
2020-11-14,11,27.8,10,Medium,30.5,5.1
2021-03-16,3,16.9,5,Medium,30.5,5.1
2021-11-20,11,41.3,15,High,30.5,5.1
2020-07-28,7,77.5,40,High,30.5,35.8
2020-07-08,7,104.6,57,High,30.5,35.8
2022-02-17,2,4.3,1,Low,30.5,5.1
2020-07-17,7,51.4,15,High,30.5,35.8
2022-01-05,1,7.7,1,Low,30.5,5.1
2021-12-05,12,7.1,2,Low,30.5,5.1
2023-05-21,5,16.6,3,Low,30.5,5.1
2021-06-25,6,65.6,28,High,30.5,35.8
2020-03-29,3,15.1,1,Low,30.5,5.1
2022-07-29,7,107.5,47,High,30.5,35.8
2023-01-03,1,5.1,5,Low,30.5,5.1
2020-09-12,9,2.6,0,Low,30.5,35.8
2022-02-14,2,11.7,1,Low,30.5,5.1
2020-06-10,6,42.2,21,High,30.5,35.8
2023-02-04,2,4.8,7,Low,30.5,5.1
2021-08-23,8,45.6,19,High,30.5,35.8
2023-07-11,7,30.1,21,High,30.5,35.8
2023-06-20,6,39.5,21,High,30.5,35.8
2022-01-10,1,5.2,4,Low,30.5,5.1
2023-03-28,3,11.1,4,Low,30.5,5.1
2021-01-28,1,5.0,3,Low,30.5,5.1
2023-12-13,12,9.2,3,Low,30.5,5.1
2020-05-22,5,6.4,1,Low,30.5,5.1
2020-04-03,4,8.0,2,Low,30.5,5.1
2023-09-16,9,53.5,24,High,30.5,35.8
2021-04-11,4,12.8,6,Low,30.5,5.1
2021-08-15,8,43.7,22,High,30.5,35.8
2020-06-12,6,47.1,17,High,30.5,35.8
2021-04-21,4,15.3,3,Low,30.5,5.1
2020-07-25,7,61.1,34,High,30.5,35.8
2022-02-17,2,8.3,5,Low,30.5,5.1
2021-07-23,7,92.5,52,High,30.5,35.8
2022-07-17,7,57.5,27,High,30.5,35.8
2023-07-25,7,0.5,1,Low,30.5,35.8
2022-01-17,1,10.7,5,Low,30.5,5.1
2020-11-29,11,29.5,8,Medium,30.5,5.1
2022-01-28,1,12.7,3,Low,30.5,5.1
2021-12-28,12,6.2,3,Low,30.5,5.1
2021-03-05,3,16.3,8,Medium,30.5,5.1
2023-10-04,10,13.3,2,Low,30.5,5.1
2021-06-30,6,76.9,34,High,30.5,35.8
2023-12-08,12,8.1,6,Low,30.5,5.1
2023-10-31,10,66.1,23,High,30.5,5.1
2023-08-20,8,78.7,32,High,30.5,35.8
2020-05-26,5,20.1,7,Medium,30.5,5.1
2023-06-01,6,46.9,26,High,30.5,35.8
2023-07-24,7,15.1,7,Medium,30.5,35.8
2020-12-16,12,2.9,2,Low,30.5,5.1
2022-12-29,12,4.4,0,Low,30.5,5.1
2021-05-16,5,10.0,1,Low,30.5,5.1
2020-11-30,11,13.5,5,Low,30.5,5.1
2022-08-04,8,92.4,35,High,30.5,35.8
2022-02-16,2,6.1,0,Low,30.5,5.1
2021-07-06,7,72.4,36,High,30.5,35.8
2023-08-03,8,80.7,28,High,30.5,35.8
2023-11-10,11,7.6,3,Low,30.5,5.1
2023-02-14,2,5.8,6,Low,30.5,5.1
2021-03-25,3,9.1,2,Low,30.5,5.1
2023-11-03,11,17.0,5,Medium,30.5,5.1
2021-10-26,10,10.7,2,Low,30.5,5.1
2020-04-24,4,0.5,3,Low,30.5,5.1
2021-04-14,4,7.4,5,Low,30.5,5.1
2020-03-06,3,15.4,3,Low,30.5,5.1
2021-10-08,10,14.8,5,Low,30.5,5.1
2022-04-01,4,23.6,3,Medium,30.5,5.1
2021-07-02,7,69.8,36,High,30.5,35.8
2020-05-15,5,1.6,0,Low,30.5,5.1
2021-03-08,3,11.4,4,Low,30.5,5.1
2023-03-07,3,12.4,2,Low,30.5,5.1
2021-10-06,10,24.4,11,Medium,30.5,5.1
2021-03-11,3,10.0,25,High,30.5,5.1
2023-09-04,9,46.6,34,High,30.5,35.8
2022-10-19,10,17.9,9,Medium,30.5,5.1
2022-03-21,3,14.7,5,Low,30.5,5.1
2023-08-09,8,31.1,12,High,30.5,35.8
2022-07-28,7,69.8,29,High,30.5,35.8
2020-10-19,10,20.6,10,Medium,30.5,5.1
2021-06-26,6,56.8,30,High,30.5,35.8
2020-10-12,10,21.5,14,Medium,30.5,5.1
2021-05-20,5,11.5,4,Low,30.5,5.1
2023-02-23,2,8.5,2,Low,30.5,5.1
2023-01-08,1,7.2,3,Low,30.5,5.1
2021-06-22,6,57.0,24,High,30.5,35.8
2023-04-12,4,10.0,16,High,30.5,5.1
2022-05-27,5,4.6,2,Low,30.5,5.1
2023-04-10,4,18.6,7,Medium,30.5,5.1
2022-03-28,3,8.6,2,Low,30.5,5.1
2022-01-11,1,4.7,2,Low,30.5,5.1
2021-03-25,3,12.1,2,Low,30.5,5.1
2020-10-10,10,0.5,2,Low,30.5,5.1
2022-11-09,11,25.5,7,Medium,30.5,5.1
2022-10-07,10,6.2,7,Low,30.5,5.1
2020-07-05,7,41.5,13,High,30.5,35.8
2020-04-06,4,9.4,2,Low,30.5,5.1
2020-08-12,8,96.8,51,High,30.5,35.8
2020-11-09,11,14.1,2,Low,30.5,5.1
2023-07-09,7,61.6,31,High,30.5,35.8
2020-11-23,11,12.1,1,Low,30.5,5.1
2023-10-25,10,1.9,4,Low,30.5,5.1
2022-05-14,5,13.6,6,Low,30.5,5.1
2023-05-06,5,36.7,8,High,30.5,5.1
2020-05-10,5,2.3,2,Low,30.5,5.1
2022-02-27,2,13.0,7,Low,30.5,5.1
2022-02-20,2,4.1,1,Low,30.5,5.1
2023-05-05,5,3.2,1,Low,30.5,5.1
2022-08-16,8,31.2,21,High,30.5,35.8
2022-12-19,12,4.8,1,Low,30.5,5.1
2021-05-29,5,8.2,3,Low,30.5,5.1
2023-02-07,2,1.7,0,Low,30.5,5.1
2020-01-24,1,0.7,2,Low,30.5,5.1
2023-10-25,10,15.7,9,Medium,30.5,5.1
2020-08-22,8,65.6,32,High,30.5,35.8
2023-10-28,10,21.9,35,High,30.5,5.1
2023-01-04,1,7.5,3,Low,30.5,5.1
2021-06-30,6,13.7,7,Low,30.5,35.8
2023-08-05,8,43.1,22,High,30.5,35.8
2021-11-27,11,28.7,9,Medium,30.5,5.1
2020-08-16,8,75.6,46,High,30.5,35.8
2021-08-24,8,41.7,29,High,30.5,35.8
2022-06-09,6,81.7,30,High,30.5,35.8
2020-11-19,11,7.8,0,Low,30.5,5.1
2022-07-18,7,51.0,27,High,30.5,35.8
2020-01-07,1,7.1,1,Low,30.5,5.1
2021-06-23,6,88.5,41,High,30.5,35.8
